EpsgNumber|CrsName|AreaName
2212|ED50 / 3-degree Gauss-Kruger zone 15|Turkey - east of 43.5°E
2213|ETRS89 / TM 30 NE|Romania - offshore
2214|Douala 1948 / AOF west|Cameroon - coastal area
2215|Manoca 1962 / UTM zone 32N|Cameroon - coastal area
2216|Qornoq 1927 / UTM zone 22N|Greenland - southwest coast 54°W to 48°W
2217|Qornoq 1927 / UTM zone 23N|Greenland - southwest coast east of 48°W
2218|Scoresbysund 1952 / Greenland zone 5 east|Greenland - east coast - 69°N to 72°N
2219|ATS77 / UTM zone 19N|Canada - Maritime Provinces - west of 66°W
2220|ATS77 / UTM zone 20N|Canada - Maritime Provinces - east of 66°W
2221|Scoresbysund 1952 / Greenland zone 6 east|Greenland - east coast - 68°N to 69°N
2222|NAD83 / Arizona East (ft)|USA - Arizona - SPCS - E
2223|NAD83 / Arizona Central (ft)|USA - Arizona - SPCS - C
2224|NAD83 / Arizona West (ft)|USA - Arizona - SPCS - W
2225|NAD83 / California zone 1 (ftUS)|USA - California - SPCS - 1
2226|NAD83 / California zone 2 (ftUS)|USA - California - SPCS - 2
2227|NAD83 / California zone 3 (ftUS)|USA - California - SPCS - 3
2228|NAD83 / California zone 4 (ftUS)|USA - California - SPCS - 4
2229|NAD83 / California zone 5 (ftUS)|USA - California - SPCS83 - 5
2230|NAD83 / California zone 6 (ftUS)|USA - California - SPCS - 6
2231|NAD83 / Colorado North (ftUS)|USA - Colorado - SPCS - N
2232|NAD83 / Colorado Central (ftUS)|USA - Colorado - SPCS - C
2233|NAD83 / Colorado South (ftUS)|USA - Colorado - SPCS - S
2234|NAD83 / Connecticut (ftUS)|USA - Connecticut
2235|NAD83 / Delaware (ftUS)|USA - Delaware
2236|NAD83 / Florida East (ftUS)|USA - Florida - SPCS - E
2237|NAD83 / Florida West (ftUS)|USA - Florida - SPCS - W
2238|NAD83 / Florida North (ftUS)|USA - Florida - SPCS - N
2239|NAD83 / Georgia East (ftUS)|USA - Georgia - SPCS - E
2240|NAD83 / Georgia West (ftUS)|USA - Georgia - SPCS - W
2241|NAD83 / Idaho East (ftUS)|USA - Idaho - SPCS - E
2242|NAD83 / Idaho Central (ftUS)|USA - Idaho - SPCS - C
2243|NAD83 / Idaho West (ftUS)|USA - Idaho - SPCS - W
2244|NAD83 / Indiana East (ftUS)|USA - Indiana - SPCS - E
2245|NAD83 / Indiana West (ftUS)|USA - Indiana - SPCS - W
2246|NAD83 / Kentucky North (ftUS)|USA - Kentucky - SPCS - N
2247|NAD83 / Kentucky South (ftUS)|USA - Kentucky - SPCS - S
2248|NAD83 / Maryland (ftUS)|USA - Maryland
2249|NAD83 / Massachusetts Mainland (ftUS)|USA - Massachusetts - SPCS - mainland
2250|NAD83 / Massachusetts Island (ftUS)|USA - Massachusetts - SPCS - islands
2251|NAD83 / Michigan North (ft)|USA - Michigan - SPCS - N
2252|NAD83 / Michigan Central (ft)|USA - Michigan - SPCS - C
2253|NAD83 / Michigan South (ft)|USA - Michigan - SPCS - S
2254|NAD83 / Mississippi East (ftUS)|USA - Mississippi - SPCS - E
2255|NAD83 / Mississippi West (ftUS)|USA - Mississippi - SPCS - W
2256|NAD83 / Montana (ft)|USA - Montana
2257|NAD83 / New Mexico East (ftUS)|USA - New Mexico - SPCS - E
2258|NAD83 / New Mexico Central (ftUS)|USA - New Mexico - SPCS83 - C
2259|NAD83 / New Mexico West (ftUS)|USA - New Mexico - SPCS83 - W
2260|NAD83 / New York East (ftUS)|USA - New York - SPCS - E
2261|NAD83 / New York Central (ftUS)|USA - New York - SPCS - C
2262|NAD83 / New York West (ftUS)|USA - New York - SPCS - W
